Date,Symbol,Quantity,Price,Trade Type
2023-01-06 05:00:00+00:00,TSLA,42.0,113.06,close
2023-01-09 05:00:00+00:00,BAX,87.0,47.6,buy
2023-01-09 05:00:00+00:00,PSX,38.0,106.7,buy
2023-01-09 05:00:00+00:00,LDOS,39.0,104.92,buy
2023-01-09 05:00:00+00:00,NOC,8.0,518.03,buy
2023-01-09 05:00:00+00:00,MDT,51.0,80.75,buy
2023-01-09 05:00:00+00:00,MRK,36.0,114.88,buy
2023-01-09 05:00:00+00:00,LLY,11.0,364.0,buy
2023-01-09 05:00:00+00:00,ENPH,17.0,236.36,buy
2023-01-09 05:00:00+00:00,HII,18.0,229.5,buy
2023-01-09 05:00:00+00:00,PFE,83.0,50.05,buy
2023-01-09 05:00:00+00:00,ANSS,-17.0,241.97,sell
2023-01-09 05:00:00+00:00,RCL,-74.0,55.86,sell
2023-01-09 05:00:00+00:00,CDNS,-25.0,161.34,sell
2023-01-09 05:00:00+00:00,DECK,-10.0,394.09,sell
2023-01-09 05:00:00+00:00,CRM,-29.0,142.59,sell
2023-01-09 05:00:00+00:00,AES,-157.0,26.41,sell
2023-01-09 05:00:00+00:00,AXON,-24.0,171.96,sell
2023-01-09 05:00:00+00:00,JBL,-60.0,68.79,sell
2023-01-09 05:00:00+00:00,CTSH,-71.0,58.57,sell
2023-01-09 05:00:00+00:00,NCLH,-314.0,13.23,sell
2023-01-09 05:00:00+00:00,BAX,-87.0,44.7,close
2023-01-09 05:00:00+00:00,PSX,-38.0,102.01,close
2023-01-09 05:00:00+00:00,LDOS,-39.0,100.33,close
2023-01-09 05:00:00+00:00,NOC,-8.0,495.41,close
2023-01-09 05:00:00+00:00,MDT,-51.0,77.54,close
2023-01-09 05:00:00+00:00,MRK,-36.0,110.38,close
2023-01-09 05:00:00+00:00,LLY,-11.0,349.83,close
2023-01-09 05:00:00+00:00,ENPH,-17.0,227.94,close
2023-01-09 05:00:00+00:00,HII,-18.0,221.56,close
2023-01-09 05:00:00+00:00,PFE,-83.0,48.39,close
2023-01-09 05:00:00+00:00,ANSS,17.0,247.99,close
2023-01-09 05:00:00+00:00,RCL,74.0,57.29,close
2023-01-09 05:00:00+00:00,CDNS,25.0,165.92,close
2023-01-09 05:00:00+00:00,DECK,10.0,405.85,close
2023-01-09 05:00:00+00:00,CRM,29.0,147.1,close
2023-01-09 05:00:00+00:00,AES,157.0,27.25,close
2023-01-09 05:00:00+00:00,AXON,24.0,177.45,close
2023-01-09 05:00:00+00:00,JBL,60.0,71.3,close
2023-01-09 05:00:00+00:00,CTSH,71.0,60.86,close
2023-01-09 05:00:00+00:00,NCLH,314.0,13.78,close
2023-01-10 05:00:00+00:00,MOS,84.0,47.625,buy
2023-01-10 05:00:00+00:00,CF,46.0,86.69,buy
2023-01-10 05:00:00+00:00,SMCI,49.0,81.0,buy
2023-01-10 05:00:00+00:00,WMB,122.0,32.82,buy
